center_code,center_name,hq_name,city,facility,status,region,state,country,property_lat,property_long,property_id,center_address,center_phone,center_pincode,enable_bag_guide,is_bagging_allowed,sort_code,region1,parent_center,property_facility_id
IND395006AAA,Surat_Varachha_DC,Surat_Varachha_DC (Gujarat),Surat,DC,Inactive,West,Gujarat,India,21.198683,72.87451,8394e51b-9386-4b29-a632-cde552ac35dc,"Shop No-2,Silicon Complex,Nr Yogi Chowk,Varachha - 395006",,395006,FALSE,FALSE,ST/VRD,West,Surat_Central_I_4,b1b6c00b-0dc5-42a1-97a0-1341597e0d5d
INPBAOSC,Nabha_CanttRoadDPP_D,Nabha_CanttRoadDPP_D (Punjab),Nabha,DC,Active,North,Punjab,India,30.387665,76.146774,2e0f1059-3516-46c8-9e05-96034233e35f,"Singh Enterprise, Ops Kartar colony Near military area punjab - 147201	",,147201,FALSE,TRUE,NAB/CAN,North,Chandigarh_Rajpura_GW,b6db8938-6422-42ba-b01e-3b22a939b7aa
INMHAAYU,Sangola_PatilChowk_DPP,Sangola_PatilChowk_DPP (Maharashtra),Sangola,DC,Active,West,Maharashtra,India,17.43793,75.19576,bfbb177b-fda0-4853-81a2-f1f925b03f84,"Shivbhavani Communication ,  Front of State Bank of India,  Wadegaon Naka,  Sangola  Tal- Sangola Dist- Solapur  Maharashtra 413307",,413307,FALSE,TRUE,SAN/PAT,West,Solapur_HydRoad_I,86c245b8-b873-44ae-8b9a-3ca403522bb1
IND524132AAA,Venktagiri_TirupthiRd_D,Venktagiri_TirupthiRd_D (Andhra Pradesh),Venkatagiri,DC,Active,South,Andhra Pradesh,India,13.953952,79.595535,a7fe89f5-b8fc-4de8-afe9-75c937ef9a56,"Near St Francis School, Venkatagari.Venkatagiri -524132",9000447066,524132,FALSE,TRUE,VKI/VKG,South,Tirupati_Tiurchanur_I,87c4f725-16aa-413c-a360-7354beeec4d3
IND184121AAA,Samba_Wardno13_D,Samba_Wardno13_D (Jammu & Kashmir),Samba,DC,Active,North,Jammu & Kashmir,India,32.559517,75.120026,8c9c522a-bb19-4130-a028-7fffbbd514fa,"Ward No.13, Border Roadm, Samba, J&K 184121",9797433860,184121,FALSE,TRUE,SMBX/WRD,North,Jammu_GangyalCRPF_H,be4806ee-b5e5-4d11-bdcf-fd4d191d067d
INKAAARA,Bangalore_BellndurNew_D,Bangalore_BellndurNew_D (Karnataka),Bangalore,DC,Active,South,Karnataka,India,12.926755,77.67593,fd62eb02-a731-4951-93eb-06d42959c1b6,"#89/5, KNO-1083, Bellandur, Back side of Central mall beside Karnataka bank Bengaluru-560103",8527643624,560103,FALSE,TRUE,BNG/BLN,South,Bangalore_Soukyaroad_I,8848cfb5-69f9-451c-ab6f-2d00b7d40abf
INKAARCA,Bangalore_HegdeNagar_D,Bangalore_HegdeNagar_D (Karnataka),Bangalore,DC,Active,South,Karnataka,India,13.066914,77.63845,1c3a14ad-a888-443a-876f-c35dbc511d70,"#112, Shiradi Sai Nagar, 2nd Cross, Hegde Nagar, Bangalore 560077",8867550887,560077,FALSE,TRUE,BAN/GDE,South,Bangalore_Soukyaroad_I,8848cfb5-69f9-451c-ab6f-2d00b7d40abf
IND742401AAA,Ghanashyampur_NditaDPP_D,Ghanashyampur_NditaDPP_D (West Bengal),Ghanashyampur,DC,Inactive,East,West Bengal,India,23.784027,88.10317,edd90420-699e-4eb2-adff-2fc2f4a4944d,"Nandita Enterprise,Vill-Ghanashyampur,Po=Makhaltore,Dist-Murshidabad,Pin=742401",,742401,FALSE,FALSE,GHN/NDT,East,Berhampore_Central_I_2,41c35dd8-422b-46e9-a051-2a8f01de6494
IND741302AAA,Nabadwip_ChndiDPP_D,Nabadwip_ChndiDPP_D (West Bengal),Nabadwip,DC,Inactive,East,West Bengal,India,23.407276,88.36439,8b3cebd2-559d-42fb-abbc-1064fbc401d0,"NABADWIP CHANDITOLA, PO. NABAWIP, PS. NABADWIP, PIN.741302",,741302,FALSE,FALSE,NDAE/NDW,East,Kolkata_Dankuni_P,ca2d8a0c-fa7a-47f7-9cd2-27f711128b32
IND563116AAA,Bethamangala_FshryOFC_D,Bethamangala_FshryOFC_D (Karnataka),Bethamangala,DC,Inactive,South,Karnataka,India,13.005297,78.32352,430d1b69-0074-456e-936e-89af1b4870f7,"Bethmangala New Town Bus stop, opposite to Fishery Office, Bethmangala -563116",9611436540,563116,FALSE,TRUE,BTH/FSH,South,Bangalore_Soukyaroad_I,8848cfb5-69f9-451c-ab6f-2d00b7d40abf
IN506001A1D,Warangal_Pegadapally_DPP,Warangal_Pegadapally_DPP (Telangana),Warangal,DC,Inactive,South,Telangana,India,18.021833,79.553925,4121e6ed-f4aa-46fa-91c2-5f7ad84121bc,"SHUTTER NO G1 KUDA APARTMENTS, HANAMKONDA, WARANGAL,NEAR THIRUMALA BAR,506001",,506001,FALSE,FALSE,WRN/PGP,South,Warangal_HunterRd_I,0c7d6e52-8031-4e76-a308-9d4d5b47f796
