,Bharthal,Delhi_Amberhai_D,Delhi_ChhotialPalam_D,Delhi_Lajwanti,Delhi_SubhashNagar_D,Delhi_MyapuriPhase1_D,Delhi_MotiNgr_D,Delhi_Shadipur_D,Delhi_Karolbagh_D,Gurgaon_Nathupur_D,Gurgaon_Sector28_D,Gurgaon_MotiVhr_ACH,Gurgaon_Central_D_17,Gurgaon_Central_D_16,Delhi_Samlkha_D,Gurgaon_Central_D_15,Delhi_Matiala_D,Delhi_Vikaspri_DC,Delhi_Peeragarhi_D,Delhi_Mundka_D,Delhi_BudhVihar_D,Delhi_Najafgarh_D,Delhi_SaraswatiVihar_D,Delhi_Rohini_D,Delhi_Barwala,Delhi_KhanpurColony_D,Delhi_shahpurJat,Delhi_Mohammadpur,Delhi_MalviyaNagar_NDC,Gurgaon_Kadipur,Gurgaon_Hasanpur_D,Gurgaon_BadshahpurPPN_D,Gurgaon_Wazirabad_D,Delhi_JaitpurRd_D,Delhi_Mehrauli_D,Delhi_Ghitorni_D,Delhi_Okhla_D,Delhi_OkhlaPh2_D,Delhi_MyurVhrPhs3_D,Delhi_Patparganj_D,Delhi_Bhogal,Delhi_Daryaganj_D,Delhi_KhurejiKhas_D,Delhi_SDMOfcBurari_D,Delhi_KalyanVhr_D,Delhi_AshkVihr_D,Delhi_Jahangirpuri_D,Delhi_DilshdGrdn_D,Ghaziabad_Sahibabad_D,Delhi_DspnsryChwk_D,Ghaziabad_RjndrNgr_DC
Bharthal,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Amberhai_D,7.0 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_ChhotialPalam_D,9.9 km,4.4 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Lajwanti,12.1 km,6.6 km,2.2 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_SubhashNagar_D,17.8 km,11.7 km,8.6 km,5.8 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_MyapuriPhase1_D,16.5 km,10.4 km,7.4 km,4.5 km,1.8 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_MotiNgr_D,28.4 km,16.2 km,16.8 km,10.3 km,5.8 km,6.3 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Shadipur_D,26.1 km,20.0 km,15.3 km,10.7 km,6.3 km,6.7 km,4.7 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Karolbagh_D,26.1 km,23.8 km,19.1 km,17.6 km,10.4 km,10.9 km,8.2 km,5.0 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon_Nathupur_D,14.8 km,15.9 km,18.3 km,19.8 km,25.1 km,22.2 km,26.6 km,25.7 km,25.2 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon_Sector28_D,17.7 km,18.8 km,21.2 km,22.7 km,28.0 km,25.1 km,29.5 km,28.6 km,28.1 km,5.2 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon_MotiVhr_ACH,19.1 km,20.2 km,22.5 km,24.1 km,29.4 km,26.5 km,30.9 km,30.0 km,29.5 km,7.9 km,3.4 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon_Central_D_17,19.3 km,20.4 km,22.8 km,24.3 km,29.6 km,26.7 km,31.1 km,30.2 km,29.8 km,8.1 km,3.7 km,0.2 km,1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
