,Bharthal,Delhi_Amberhai_D,Delhi_ChhotialPalam_D,Delhi_Lajwanti,Delhi_SubhashNagar_D,Delhi_MyapuriPhase1_D,Delhi_MotiNgr_D,Delhi_Shadipur_D,Delhi_Karolbagh_D,Gurgaon_Nathupur_D,Gurgaon_Sector28_D,Gurgaon_MotiVhr_ACH,Gurgaon_Central_D_17,Gurgaon_Central_D_16,Delhi_Samlkha_D,Gurgaon_Central_D_15,Delhi_Matiala_D,Delhi_Vikaspri_DC,Delhi_Peeragarhi_D,Delhi_Mundka_D,Delhi_BudhVihar_D,Delhi_Najafgarh_D,Delhi_SaraswatiVihar_D,Delhi_Rohini_D,Delhi_Barwala,Delhi_KhanpurColony_D,Delhi_shahpurJat,Delhi_Mohammadpur,Delhi_MalviyaNagar_NDC,Gurgaon_Kadipur,Gurgaon_Hasanpur_D,Gurgaon_BadshahpurPPN_D,Gurgaon_Wazirabad_D,Delhi_JaitpurRd_D,Delhi_Mehrauli_D,Delhi_Ghitorni_D,Delhi_Okhla_D,Delhi_OkhlaPh2_D,Delhi_MyurVhrPhs3_D,Delhi_Patparganj_D,Delhi_Bhogal,Delhi_Daryaganj_D,Delhi_KhurejiKhas_D,Delhi_SDMOfcBurari_D,Delhi_KalyanVhr_D,Delhi_AshkVihr_D,Delhi_Jahangirpuri_D,Delhi_DilshdGrdn_D,Ghaziabad_Sahibabad_D,Delhi_DspnsryChwk_D,Ghaziabad_RjndrNgr_DC
Bharthal,0,17,26,35,45,43,50,50,50,35,37,36,37,26,20,31,32,43,50,55,70,31,61,64,75,51,41,38,54,47,51,54,46,68,45,44,58,53,68,65,51,57,65,76,64,64,68,73,72,74,74
Delhi_Amberhai_D,17,0,15,24,33,30,42,46,49,36,39,38,39,31,21,36,20,30,37,45,57,22,48,51,62,50,41,37,53,51,52,56,48,67,46,46,57,52,67,64,51,56,64,66,59,56,55,73,71,73,73
Delhi_ChhotialPalam_D,26,15,0,9,24,21,32,34,36,31,34,33,34,35,27,44,18,22,28,39,48,29,39,42,54,38,28,25,41,46,47,51,43,55,36,41,45,39,55,51,38,44,52,58,49,46,47,60,59,60,61
Delhi_Lajwanti,35,24,9,0,20,18,29,34,43,38,40,39,41,41,35,49,26,23,29,40,49,37,40,46,55,44,35,31,47,52,54,57,49,61,42,47,51,46,61,58,45,50,58,56,47,44,48,66,65,63,67
Delhi_SubhashNagar_D,45,33,24,20,0,6,14,18,29,41,44,43,44,44,38,53,30,21,24,35,41,41,25,33,45,43,34,26,47,56,57,61,53,57,46,51,50,44,53,49,36,42,50,40,31,28,32,56,57,48,59
Delhi_MyapuriPhase1_D,43,30,21,18,6,0,15,19,30,40,43,42,43,44,37,52,29,24,25,36,42,39,25,34,46,44,34,27,48,55,57,60,52,58,45,50,50,45,54,50,37,43,51,41,32,29,33,56,57,48,59
Delhi_MotiNgr_D,50,42,32,29,14,15,0,13,22,42,44,43,45,45,39,54,35,26,17,28,34,46,18,27,38,44,34,26,48,56,58,61,54,58,47,51,50,45,54,50,37,42,49,34,25,21,26,48,57,41,58
Delhi_Shadipur_D,50,46,34,34,18,19,13,0,16,46,49,48,49,49,43,58,42,33,23,34,39,53,23,31,43,48,38,31,52,61,62,66,58,60,51,56,52,49,51,47,33,35,44,38,29,25,30,44,56,45,57
Delhi_Karolbagh_D,50,49,36,43,29,30,22,16,0,45,47,46,48,48,42,57,49,40,25,36,43,59,27,36,47,46,36,30,51,59,61,64,57,56,49,54,48,45,45,39,29,25,34,41,20,17,34,32,43,32,45
Gurgaon_Nathupur_D,35,36,31,38,41,40,42,46,45,0,16,20,21,18,21,30,48,53,57,68,74,51,58,71,78,34,37,35,34,33,34,38,24,57,22,14,54,48,65,61,48,54,62,73,61,61,65,70,69,70,71
Gurgaon_Sector28_D,37,39,34,40,44,43,44,49,47,16,0,10,11,18,24,22,51,56,60,71,77,53,60,74,81,43,41,38,42,27,29,32,18,63,31,23,58,52,68,64,51,57,65,76,64,64,68,73,72,73,74
Gurgaon_MotiVhr_ACH,36,38,33,39,43,42,43,48,46,20,10,0,2,14,19,16,46,51,55,66,72,49,56,64,76,47,37,34,47,22,23,27,14,63,36,27,53,48,63,60,47,52,61,72,59,59,64,69,67,69,69
Gurgaon_Central_D_17,37,39,34,41,44,43,45,49,48,21,11,2,0,16,20,18,48,52,57,68,73,50,57,66,78,49,38,35,48,22,23,27,16,65,37,29,54,49,65,61,48,54,62,73,61,61,65,70,68,70,70
Gurgaon_Central_D_16,26,31,35,41,44,44,45,49,48,18,18,14,16,0,18,16,47,52,56,67,73,44,57,66,77,46,38,35,45,29,31,34,26,65,34,26,55,49,65,61,48,53,62,73,61,61,65,70,68,70,70
Delhi_Samlkha_D,20,21,27,35,38,37,39,43,42,21,24,19,20,18,0,29,34,42,46,57,63,34,47,60,67,37,28,24,40,32,34,37,30,54,31,28,44,39,54,51,38,43,51,63,50,50,55,60,58,60,60
Gurgaon_Central_D_15,31,36,44,49,53,52,54,58,57,30,22,16,18,16,29,0,51,55,59,71,76,45,60,69,80,49,41,38,49,24,28,31,23,68,38,30,58,52,68,64,51,56,65,76,64,64,68,73,72,73,74
Delhi_Matiala_D,32,20,18,26,30,29,35,42,49,48,51,46,48,47,34,51,0,19,27,38,47,27,38,41,53,51,42,38,54,59,61,64,56,68,49,54,58,53,68,65,51,57,65,57,56,53,46,73,72,64,74
Delhi_Vikaspri_DC,43,30,22,23,21,24,26,33,40,53,56,51,52,52,42,55,19,0,15,25,35,29,26,29,41,57,47,43,60,65,66,70,62,74,55,60,64,58,70,66,52,56,60,45,44,42,34,61,72,52,69
Delhi_Peeragarhi_D,50,37,28,29,24,25,17,23,25,57,60,55,57,56,46,59,27,15,0,11,22,38,13,17,28,57,47,39,61,69,71,74,66,71,59,64,63,58,61,54,51,44,47,32,31,27,21,48,59,39,56
Delhi_Mundka_D,55,45,39,40,35,36,28,34,36,68,71,66,68,67,57,71,38,25,11,0,33,27,27,30,34,70,60,53,74,80,84,87,80,84,73,78,77,71,75,67,64,58,61,45,44,41,34,61,73,52,69
Delhi_BudhVihar_D,70,57,48,49,41,42,34,39,43,74,77,72,73,73,63,76,47,35,22,33,0,57,24,11,12,77,67,59,80,88,90,93,86,91,78,83,83,78,71,64,66,54,57,41,42,40,30,58,69,49,66
Delhi_Najafgarh_D,31,22,29,37,41,39,46,53,59,51,53,49,50,44,34,45,27,29,38,27,57,0,52,55,62,67,58,55,70,57,66,69,61,85,65,59,74,69,85,81,68,73,82,70,70,67,59,87,88,78,90
Delhi_SaraswatiVihar_D,61,48,39,40,25,25,18,23,27,58,60,56,57,57,47,60,38,26,13,27,24,52,0,17,25,57,47,40,61,69,71,74,67,71,60,64,63,58,57,50,50,40,43,28,22,20,17,44,55,35,52
Delhi_Rohini_D,64,51,42,46,33,34,27,31,36,71,74,64,66,66,60,69,41,29,17,30,11,55,17,0,12,68,58,50,72,80,82,85,77,85,70,75,71,72,60,58,55,43,46,31,33,30,19,52,64,38,55
Delhi_Barwala,75,62,54,55,45,46,38,43,47,78,81,76,78,77,67,80,53,41,28,34,12,62,25,12,0,79,69,61,82,91,93,96,88,87,81,86,79,77,68,61,64,51,54,39,40,39,28,55,66,46,63
Delhi_KhanpurColony_D,51,50,38,44,43,44,44,48,46,34,43,47,49,46,37,49,51,57,57,70,77,67,57,68,79,0,16,23,10,57,59,58,46,24,18,24,21,21,42,40,24,35,44,64,53,59,60,51,48,56,50
Delhi_shahpurJat,41,41,28,35,34,34,34,38,36,37,41,37,38,38,28,41,42,47,47,60,67,58,47,58,69,16,0,15,19,49,51,54,47,33,23,29,23,18,37,35,19,31,39,60,48,51,56,46,43,53,45
Delhi_Mohammadpur,38,37,25,31,26,27,26,31,30,35,38,34,35,35,24,38,38,43,39,53,59,55,40,50,61,23,15,0,26,49,51,54,47,41,25,32,30,24,37,33,20,32,37,56,44,44,48,44,41,50,43
Delhi_MalviyaNagar_NDC,54,53,41,47,47,48,48,52,51,34,42,47,48,45,40,49,54,60,61,74,80,70,61,72,82,10,19,26,0,56,58,57,45,36,17,24,32,29,51,51,33,44,54,73,63,64,69,61,58,66,60
Gurgaon_Kadipur,47,51,46,52,56,55,56,61,59,33,27,22,22,29,32,24,59,65,69,80,88,57,69,80,91,57,49,49,56,0,21,25,28,75,46,38,65,59,75,71,58,64,72,83,71,71,75,80,79,80,81
Gurgaon_Hasanpur_D,51,52,47,54,57,57,58,62,61,34,29,23,23,31,34,28,61,66,71,84,90,66,71,82,93,59,51,51,58,21,0,11,28,78,53,45,71,66,81,78,65,70,79,90,77,77,82,87,85,87,87
Gurgaon_BadshahpurPPN_D,54,56,51,57,61,60,61,66,64,38,32,27,27,34,37,31,64,70,74,87,93,69,74,85,96,58,54,54,57,25,11,0,22,72,52,44,71,66,81,77,64,70,78,89,77,77,81,86,85,87,87
Gurgaon_Wazirabad_D,46,48,43,49,53,52,54,58,57,24,18,14,16,26,30,23,56,62,66,80,86,61,67,77,88,46,47,47,45,28,28,22,0,61,39,31,64,59,75,71,58,63,72,83,70,70,75,80,78,80,80
Delhi_JaitpurRd_D,68,67,55,61,57,58,58,60,56,57,63,63,65,65,54,68,68,74,71,84,91,85,71,85,87,24,33,41,36,75,78,72,61,0,46,52,19,21,36,40,28,40,41,68,56,63,64,52,50,54,52
Delhi_Mehrauli_D,45,46,36,42,46,45,47,51,49,22,31,36,37,34,31,38,49,55,59,73,78,65,60,70,81,18,23,25,17,46,53,52,39,46,0,19,38,32,55,51,38,46,54,76,63,64,69,61,58,68,60
Delhi_Ghitorni_D,44,46,41,47,51,50,51,56,54,14,23,27,29,26,28,30,54,60,64,78,83,59,64,75,86,24,29,32,24,38,45,44,31,52,19,0,44,38,60,56,43,52,59,78,66,66,70,66,63,73,65
Delhi_Okhla_D,58,57,45,51,50,50,50,52,48,54,58,53,54,55,44,58,58,64,63,77,83,74,63,71,79,21,23,30,32,65,71,71,64,19,38,44,0,8,32,36,18,36,37,64,52,60,60,48,46,50,48
Delhi_OkhlaPh2_D,53,52,39,46,44,45,45,49,45,48,52,48,49,49,39,52,53,58,58,71,78,69,58,72,77,21,18,24,29,59,66,66,59,21,32,38,8,0,31,36,18,36,36,63,52,59,59,47,45,50,47
Delhi_MyurVhrPhs3_D,68,67,55,61,53,54,54,51,45,65,68,63,65,65,54,68,68,70,61,75,71,85,57,60,68,42,37,37,51,75,81,81,75,36,55,60,32,31,0,15,29,28,21,57,46,52,53,23,21,41,24
Delhi_Patparganj_D,65,64,51,58,49,50,50,47,39,61,64,60,61,61,51,64,65,66,54,67,64,81,50,58,61,40,35,33,51,71,78,77,71,40,51,56,36,36,15,0,26,25,13,50,38,45,46,16,17,33,22
Delhi_Bhogal,51,51,38,45,36,37,37,33,29,48,51,47,48,48,38,51,51,52,51,64,66,68,50,55,64,24,19,20,33,58,65,64,58,28,38,43,18,18,29,26,0,21,28,50,39,44,47,35,32,41,34
Delhi_Daryaganj_D,57,56,44,50,42,43,42,35,25,54,57,52,54,53,43,56,57,56,44,58,54,73,40,43,51,35,31,32,44,64,70,70,63,40,46,52,36,36,28,25,21,0,15,34,23,30,31,26,31,27,33
Delhi_KhurejiKhas_D,65,64,52,58,50,51,49,44,34,62,65,61,62,62,51,65,65,60,47,61,57,82,43,46,54,44,39,37,54,72,79,78,72,41,54,59,37,36,21,13,28,15,0,44,32,39,40,19,24,30,29
Delhi_SDMOfcBurari_D,76,66,58,56,40,41,34,38,41,73,76,72,73,73,63,76,57,45,32,45,41,70,28,31,39,64,60,56,73,83,90,89,83,68,76,78,64,63,57,50,50,34,44,0,26,31,20,41,52,32,49
Delhi_KalyanVhr_D,64,59,49,47,31,32,25,29,20,61,64,59,61,61,50,64,56,44,31,44,42,70,22,33,40,53,48,44,63,71,77,77,70,56,63,66,52,52,46,38,39,23,32,26,0,7,20,29,41,26,42
Delhi_AshkVihr_D,64,56,46,44,28,29,21,25,17,61,64,59,61,61,50,64,53,42,27,41,40,67,20,30,39,59,51,44,64,71,77,77,70,63,64,66,60,59,52,45,44,30,39,31,7,0,24,35,46,33,48
Delhi_Jahangirpuri_D,68,55,47,48,32,33,26,30,34,65,68,64,65,65,55,68,46,34,21,34,30,59,17,19,28,60,56,48,69,75,82,81,75,64,69,70,60,59,53,46,47,31,40,20,20,24,0,36,48,27,44
Delhi_DilshdGrdn_D,73,73,60,66,56,56,48,44,32,70,73,69,70,70,60,73,73,61,48,61,58,87,44,52,55,51,46,44,61,80,87,86,80,52,61,66,48,47,23,16,35,26,19,41,29,35,36,0,15,20,16
Ghaziabad_Sahibabad_D,72,71,59,65,57,57,57,56,43,69,72,67,68,68,58,72,72,72,59,73,69,88,55,64,66,48,43,41,58,79,85,85,78,50,58,63,46,45,21,17,32,31,24,52,41,46,48,15,0,33,14
Delhi_DspnsryChwk_D,74,73,60,63,48,48,41,45,32,70,73,69,70,70,60,73,64,52,39,52,49,78,35,38,46,56,53,50,66,80,87,87,80,54,68,73,50,50,41,33,41,27,30,32,26,33,27,20,33,0,29
Ghaziabad_RjndrNgr_DC,74,73,61,67,59,59,58,57,45,71,74,69,70,70,60,74,74,69,56,69,66,90,52,55,63,50,45,43,60,81,87,87,80,52,60,65,48,47,24,22,34,33,29,49,42,48,44,16,14,29,0
