,Bharthal,Delhi_Amberhai_D,Delhi_ChhotialPalam_D,Delhi_Lajwanti,Delhi_SubhashNagar_D,Delhi_MyapuriPhase1_D,Delhi_MotiNgr_D,Delhi_Shadipur_D,Delhi_Karolbagh_D,Gurgaon_Nathupur_D,Gurgaon_Sector28_D,Gurgaon_MotiVhr_ACH,Gurgaon_Central_D_17,Gurgaon_Central_D_16,Delhi_Samlkha_D,Gurgaon_Central_D_15,Delhi_Matiala_D,Delhi_Vikaspri_DC,Delhi_Peeragarhi_D,Delhi_Mundka_D,Delhi_BudhVihar_D,Delhi_Najafgarh_D,Delhi_SaraswatiVihar_D,Delhi_Rohini_D,Delhi_Barwala,Delhi_KhanpurColony_D,Delhi_shahpurJat,Delhi_Mohammadpur,Delhi_MalviyaNagar_NDC,Gurgaon_Kadipur,Gurgaon_Hasanpur_D,Gurgaon_BadshahpurPPN_D,Gurgaon_Wazirabad_D,Delhi_JaitpurRd_D,Delhi_Mehrauli_D,Delhi_Ghitorni_D,Delhi_Okhla_D,Delhi_OkhlaPh2_D,Delhi_MyurVhrPhs3_D,Delhi_Patparganj_D,Delhi_Bhogal,Delhi_Daryaganj_D,Delhi_KhurejiKhas_D,Delhi_SDMOfcBurari_D,Delhi_KalyanVhr_D,Delhi_AshkVihr_D,Delhi_Jahangirpuri_D,Delhi_DilshdGrdn_D,Ghaziabad_Sahibabad_D,Delhi_DspnsryChwk_D,Ghaziabad_RjndrNgr_DC
Bharthal,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Amberhai_D,17 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_ChhotialPalam_D,26 mins,15 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Lajwanti,35 mins,24 mins,9 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_SubhashNagar_D,45 mins,33 mins,24 mins,20 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_MyapuriPhase1_D,43 mins,30 mins,21 mins,18 mins,6 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_MotiNgr_D,50 mins,42 mins,32 mins,29 mins,14 mins,15 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Shadipur_D,50 mins,46 mins,34 mins,34 mins,18 mins,19 mins,13 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Karolbagh_D,50 mins,49 mins,36 mins,43 mins,29 mins,30 mins,22 mins,16 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon_Nathupur_D,35 mins,36 mins,31 mins,38 mins,41 mins,40 mins,42 mins,46 mins,45 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon_Sector28_D,37 mins,39 mins,34 mins,40 mins,44 mins,43 mins,44 mins,49 mins,47 mins,16 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon_MotiVhr_ACH,36 mins,38 mins,33 mins,39 mins,43 mins,42 mins,43 mins,48 mins,46 mins,20 mins,10 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon_Central_D_17,37 mins,39 mins,34 mins,41 mins,44 mins,43 mins,45 mins,49 mins,48 mins,21 mins,11 mins,2 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon_Central_D_16,26 mins,31 mins,35 mins,41 mins,44 mins,44 mins,45 mins,49 mins,48 mins,18 mins,18 mins,14 mins,16 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Samlkha_D,20 mins,21 mins,27 mins,35 mins,38 mins,37 mins,39 mins,43 mins,42 mins,21 mins,24 mins,19 mins,20 mins,18 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurgaon_Central_D_15,31 mins,36 mins,44 mins,49 mins,53 mins,52 mins,54 mins,58 mins,57 mins,30 mins,22 mins,16 mins,18 mins,16 mins,29 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Matiala_D,32 mins,20 mins,18 mins,26 mins,30 mins,29 mins,35 mins,42 mins,49 mins,48 mins,51 mins,46 mins,48 mins,47 mins,34 mins,51 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Vikaspri_DC,43 mins,30 mins,22 mins,23 mins,21 mins,24 mins,26 mins,33 mins,40 mins,53 mins,56 mins,51 mins,52 mins,52 mins,42 mins,55 mins,19 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Peeragarhi_D,50 mins,37 mins,28 mins,29 mins,24 mins,25 mins,17 mins,23 mins,25 mins,57 mins,1 hour 0 mins,55 mins,57 mins,56 mins,46 mins,59 mins,27 mins,15 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Mundka_D,55 mins,45 mins,39 mins,40 mins,35 mins,36 mins,28 mins,34 mins,36 mins,1 hour 8 mins,1 hour 11 mins,1 hour 6 mins,1 hour 8 mins,1 hour 7 mins,57 mins,1 hour 11 mins,38 mins,25 mins,11 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_BudhVihar_D,1 hour 10 mins,57 mins,48 mins,49 mins,41 mins,42 mins,34 mins,39 mins,43 mins,1 hour 14 mins,1 hour 17 mins,1 hour 12 mins,1 hour 13 mins,1 hour 13 mins,1 hour 3 mins,1 hour 16 mins,47 mins,35 mins,22 mins,33 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_Najafgarh_D,31 mins,22 mins,29 mins,37 mins,41 mins,39 mins,46 mins,53 mins,59 mins,51 mins,53 mins,49 mins,50 mins,44 mins,34 mins,45 mins,27 mins,29 mins,38 mins,27 mins,57 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delhi_SaraswatiVihar_D,1 hour 1 min,48 mins,39 mins,40 mins,25 mins,25 mins,18 mins,23 mins,27 mins,58 mins,1 hour 0 mins,56 mins,57 mins,57 mins,47 mins,1 hour 0 mins,38 mins,26 mins,13 mins,27 mins,24 mins,52 mins,1 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,
